,coef,std_err_cluster,z,p_value,odds_ratio,OR_ci_lo,OR_ci_hi
Intercept,-1.3794418583721448,0.17468315690243136,-7.896822354445009,2.8610368650721897e-15,0.25171900871632286,0.1787415172270273,0.3544921198618273
"C(level, Treatment(reference='L0'))[T.L1]",0.37722982120566156,0.18057940998751698,2.0889968642146886,0.036708005446579955,1.4582394052019338,1.023574262901768,2.077486939594695
"C(level, Treatment(reference='L0'))[T.L2]",-0.0858741256564853,0.16637145177849064,-0.5161590209047365,0.6057433486980639,0.9177097400612659,0.6623533002690309,1.2715135059510383
"C(level, Treatment(reference='L0'))[T.L3]",-0.7189729917689329,0.1652104780302626,-4.351860731479963,1.3498700077202081e-05,0.487252411321208,0.35247359103822085,0.6735679448750171
leaked,0.6797690874748304,0.1393268574279811,4.878952271109734,1.0665086652043957e-06,1.973421991759039,1.501843667201701,2.5930757259271955
cc,0.05118310796267114,0.020279675228704063,2.5238623096994197,0.011607338197433677,1.0525155996267597,1.0115013121900418,1.0951929316425297
loc,-0.011058318706377123,0.004535453324406462,-2.4381947989343016,0.014760817285086655,0.9890025997412812,0.9802499940537249,0.997833357029742
