Model,n_common,both_pass,both_fail,single_only_pass,two_stage_only_pass,odds_ratio_single_over_two,statistic,p_value,p_holm,significant_holm_0.05
Qwen3-4B-Thinking-2507,210,153,11,28,18,1.5555555555555556,18.0,0.18392482137699062,0.36784964275398124,False
Qwen3.5-4B,210,125,17,39,29,1.3448275862068966,29.0,0.2749903961710005,0.36784964275398124,False
gemma-4-E4B-it,210,76,41,26,67,0.3880597014925373,26.0,2.5258189217190576e-05,0.0001262909460859529,True
granite-4.0-micro,210,75,67,42,26,1.6153846153846154,26.0,0.06811867428409976,0.20435602285229928,False
Ministral-3-3B-Reasoning-2512,210,55,79,55,21,2.619047619047619,21.0,0.0001206291159979032,0.0004825164639916128,True
