Pipeline,Level,N,Pass,Pass_%,Pytest Error,Pytest Error_%,Assertion Error,Assertion Error_%,Runtime Error,Runtime Error_%,Timeout,Timeout_%,No Code,No Code_%,_other_statuses_seen
Single-call,L0,1125,230,20.4,4,0.4,159,14.1,714,63.5,0,0.0,18,1.6,[]
Single-call,L1,1110,345,31.1,10,0.9,216,19.5,517,46.6,1,0.1,21,1.9,[]
Single-call,L2,1125,217,19.3,20,1.8,145,12.9,726,64.5,0,0.0,17,1.5,[]
Single-call,L3,1125,112,10.0,29,2.6,76,6.8,892,79.3,1,0.1,15,1.3,[]
Two-stage,L0,1125,276,24.5,4,0.4,183,16.3,646,57.4,0,0.0,16,1.4,[]
Two-stage,L1,1110,419,37.7,5,0.5,168,15.1,494,44.5,0,0.0,24,2.2,[]
Two-stage,L2,1125,304,27.0,6,0.5,143,12.7,656,58.3,0,0.0,16,1.4,[]
Two-stage,L3,1125,184,16.4,12,1.1,104,9.2,799,71.0,0,0.0,26,2.3,[]
