,coef,std_err_cluster,z,p_value,odds_ratio,OR_ci_lo,OR_ci_hi
Intercept,-1.312209489788763,0.16726060994909925,-7.845298963025991,4.319232615918689e-15,0.269224549850369,0.19397339639220598,0.3736690679766135
"C(level, Treatment(reference='L0'))[T.L1]",0.5019619052649719,0.17293484560531927,2.9026070686215255,0.0037007063484350263,1.6519590807413222,1.177055329632196,2.3184711336352026
"C(level, Treatment(reference='L0'))[T.L2]",-0.030357978458037,0.16194349871749217,-0.18746030991337298,0.8512997401093971,0.9700981971259873,0.7062673690528497,1.3324847689468569
"C(level, Treatment(reference='L0'))[T.L3]",-0.7320975477090725,0.16630555271366645,-4.402123295122611,1.0719660682779929e-05,0.48089922238025407,0.3471319050438699,0.6662137899905982
leaked,0.5514789047280069,0.1397611454424943,3.9458670933325797,7.951171134022849e-05,1.735818230335231,1.3198948749304873,2.282806749229038
cc,0.0584134835479246,0.01641789081146346,3.557916435108617,0.0003738081865041404,1.0601532610280078,1.0265821760291323,1.0948221809341296
loc,-0.013196253824386094,0.004343967009387144,-3.0378347247733473,0.0023828460436139164,0.9868904349916064,0.9785236990023645,0.9953287096376893
