,coef,std_err_cluster,z,p_value,odds_ratio,OR_ci_lo,OR_ci_hi
Intercept,-1.3137870187225278,0.16726582682876404,-7.854485543347107,4.0141636821200115e-15,0.2688001751529903,0.19366565875961433,0.37308387364619083
"C(level, Treatment(reference='L0'))[T.L1]",0.48816112052182375,0.17318472230077991,2.8187308559123716,0.00482139265977288,1.6293173452862044,1.1603541986100225,2.287814371534567
"C(level, Treatment(reference='L0'))[T.L2]",-0.025388124961695124,0.1620884775175109,-0.15663127540298089,0.8755354525578745,0.9749314433574061,0.7095844917066491,1.3395040764784638
"C(level, Treatment(reference='L0'))[T.L3]",-0.7288934225244145,0.16613168315522464,-4.387443795674875,1.1469061782519803e-05,0.48244255488486376,0.3483646377328932,0.6681241249931206
leaked,0.5271788906126259,0.1403457505995059,3.7562868014222714,0.00017245305254468452,1.6941461889919547,1.2867327763278158,2.230557395038138
cc,0.05853316117689356,0.016400520217239003,3.5689819835939027,0.00035837106623151524,1.0602801452490813,1.0267399978289389,1.0949159366407684
loc,-0.013035040317320886,0.004339111649616881,-3.0040804132043495,0.002663849084428244,0.9870495478849497,0.9786907764564827,0.9954797096457608
